"Country"	"GDP.growth"	"GDP.at.market.prices"	"GDP.per.capita"	"GNI.per.capita.Atlas.method"	"Exports.of.goods.and.services"	"Foreign.direct.investment.net"	"GNI.per.capita.PPP"	"GINI.index"	"Inflation.consumer.prices"	"Inflation.GDP.deflator"	"Internet.users"	"Imports.of.goods.and.services"	"Life.expectancy.at.birth.total"	"Adult.literacy.rate.population.15..years.both.sexes"	"Unemployment.total"	"Poverty.headcount.ratio.at.national.poverty.lines"	"Agriculture.value.added"	"CO2.emissions"	"Central.government.debt.total"	"Population.total"
"Haiti"	4.25	8452718010.08	810.33	800	18.25	-160377879.38	1690	-	5.85	6.59	10.6	52.92	62.4	-	6.8	-	-	-	-	10431249
"Honduras"	2.79	18496438641.48	2356.52	2250	47.94	-991605737.04	4410	53.67	5.16	1.37	17.8	68.36	72.94	85.46	3.9	64.5	13.12	-	-	7849059
"Hong Kong SAR, China"	3.07	275742650850.95	38364.19	38520	227.93	6470876900.52	54380	-	4.35	1.86	74.2	227.35	83.83	-	3.3	-	0.06	-	-	7187500
"Hungary"	1.89	134401774737.92	13585.43	13350	87.96	-20474178.18	23350	-	1.72	3.07	72.64	80.66	75.57	99.05	10.2	15	4.55	-	94.54	9893082
"Iceland"	3.9	15376604281.45	47493.25	46350	55.69	54485032.75	41800	-	3.88	1.85	96.55	47.65	82.06	-	5.6	-	6.91	-	103.19	323764
"India"	6.9	1861801615477.86	1455.1	1530	25.16	-26388082470.29	5240	-	10.91	6.25	15.1	28.12	67.66	-	3.6	-	18.63	-	-	1279498874
"Indonesia"	5.58	910478729099.04	3623.53	3740	23.98	-12170055178.76	9700	-	6.41	4.71	14.94	24.77	68.7	-	6.3	11.4	13.39	-	-	251268276
"Iran, Islamic Rep."	-1.91	511620875086.78	6631.3	7120	27.47	-	16590	37.35	39.27	34.34	29.95	19.79	75.13	-	12.9	-	9.03	-	-	77152445
"Iraq"	6.57	232500000000	6882.49	6900	40.42	-	15660	-	1.88	0.07	9.2	21.6	69.18	79.25	15.1	-	-	-	-	33781385
"Ireland"	1.43	238259956626.79	51814.86	44450	106.68	-12371927261.58	40630	-	0.5	1.18	78.25	87.36	81	-	13.1	-	1.43	-	132.98	4598294
"Isle of Man"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86462
"Israel"	3.25	292408330563.86	36281.2	34310	33.22	-6946100000	32720	-	1.53	2.15	70.8	31.43	82.06	-	6.3	-	-	-	-	8059500
"Italy"	-1.75	2133539300229.7	35420.88	35370	28.88	721152645.12	35670	-	1.22	1.29	58.46	26.55	82.69	99.07	12.2	-	2.32	-	134.65	60233948
"Jamaica"	0.55	14187446660.71	5226.22	5250	30.63	-677787733.39	8490	-	9.34	8.35	37.1	52.77	75.49	87.9	15	-	7.07	-	-	2714669
"Japan"	1.61	4919563108372.5	38633.71	46330	16.15	139789694644.29	38050	-	0.36	-0.55	89.71	18.99	83.33	-	4	-	1.21	-	201.13	127338621
"Jordan"	2.83	33593843661.97	5200.29	4940	42.48	-1732901429.39	11660	-	4.83	5.6	41	71.96	73.9	-	12.6	-	3.4	-	-	6460000
"Kazakhstan"	6	231876282133.87	13611.54	11560	39.12	-7934311287.31	20700	26.35	5.84	9.66	54	27.11	70.45	-	5.2	2.9	4.93	-	-	17035275
"Kenya"	5.69	54930813987.92	1257.2	1180	17.89	-508763130.78	2820	-	5.72	5.05	39	33.39	60.95	-	9.1	-	29.42	-	-	43692881
"Kiribati"	2.97	168951535.05	1556.53	2710	10.51	-1112865.22	2880	-	-	0.56	11.5	110.51	65.77	-	-	-	25.6	-	-	108544
"Korea, Dem. People’s Rep."	-	-	-	-	-	-	-	-	-	-	-	-	69.79	-	4.1	-	-	-	-	24895705
"Korea, Rep."	2.9	1305604981271.91	25997.88	25870	53.88	15593200000	32900	-	1.31	0.85	84.77	48.9	81.71	-	3.1	-	2.34	-	-	50219669
"Kosovo"	3.44	7073021773.77	3890.3	3960	17.34	-319350167.06	9100	26.71	-	1.8	-	48.94	70.8	-	-	-	14.4	-	-	1818117
"Kuwait"	1.15	174161495063.47	48463.15	52060	70.86	15214373332.93	82470	-	2.7	0.22	75.46	26.75	74.47	95.59	3.2	-	0.33	-	-	3593689
"Kyrgyz Republic"	10.92	7335027591.92	1282.44	1220	42.25	-757634700	3100	-	6.61	3.18	23	91.78	70.2	-	8.3	37	17	-	-	5719600
"Lao PDR"	8.47	11192471435.44	1700.99	1490	37.29	-426667686.18	4670	-	6.36	8.22	12.5	46.14	65.69	-	1.3	-	26.38	-	-	6579985
"Latvia"	3.02	30241650059.78	15025.81	14930	60.37	-495702651.97	22490	-	0	1.31	75.23	63.57	73.98	-	11.9	21.2	3.4	-	-	2012647
"Lebanon"	0.9	44352418120.46	9870.49	9610	45.7	-917750503.83	16950	-	5.54	1.74	70.5	75.4	79.13	-	6.2	-	7.18	-	-	4493438
"Lesotho"	4.46	2218102350.05	1064.83	1550	40.42	-50429031.34	3280	-	4.93	4.74	5	101.22	49.33	-	24.6	-	8	-	-	2083061
"Liberia"	8.7	1946500000	453.34	370	48.55	-700267800	710	-	7.57	3.18	3.2	100.39	60.52	-	3.7	-	-	-	-	4293692
"Libya"	-13.55	65509594212.02	10454.79	10520	70.43	881800000	20080	-	2.61	-6.75	16.5	64.83	71.66	90.26	19.2	-	-	-	-	6265987
"Liechtenstein"	-	-	-	-	-	-	-	-	-	-	93.8	-	82.26	-	-	-	-	-	-	37040
"Lithuania"	3.54	46412093986.46	15692.01	15140	84.06	-281361074.91	25630	-	1.05	1.29	68.45	82.81	73.91	-	11.8	19.1	3.95	-	43.76	2957689
"Luxembourg"	4.35	61794506555.51	113726.64	73510	195.57	-192283527652.47	62890	-	1.73	2.36	93.78	161.91	81.8	-	5.9	-	0.29	-	-	543360
"Macao SAR, China"	10.66	51313531848.85	90331.82	71130	107.58	-1527355265.4	118230	-	5.51	7.85	65.8	47.1	80.34	-	1.8	-	-	-	-	568056
"Macedonia, FYR"	2.67	10767448426.89	5195.28	4980	43.79	-304975976.33	12420	-	2.78	4.26	65.24	61.91	75.19	97.63	29	24.2	11.04	-	-	2072543
"Madagascar"	2.26	10613473832.74	462.97	440	30.07	-550908927.17	1370	-	5.83	5.19	3	43.09	64.67	-	3.6	-	26.42	-	-	22924557
"Malawi"	5.2	3883521174.8	239.87	280	47.56	-638908372.59	760	-	27.28	27.35	5.05	60.5	61.47	-	7.6	-	33.2	-	-	16190126
"Malaysia"	4.71	323342854422.55	10973.66	10850	75.61	2111932921.03	23390	-	2.11	0.18	66.97	67.08	74.57	-	3.2	-	9.1	-	-	29465372
"Maldives"	4.7	2790659901.12	7100.92	5980	105.05	-360816336.21	10270	-	2.31	6.03	44.1	85.78	76.6	-	11.3	-	3.85	-	-	393000
"Mali"	1.71	10942822487.19	659.52	620	27.46	-304998357.58	1420	-	-0.61	0.69	3.5	31.08	57.54	-	8.1	-	38.36	-	-	16592097
"Malta"	2.9	9642848650.12	22776.19	21000	-	-9285552949.04	27390	-	1.37	2.09	68.91	-	81.75	-	6.5	-	-	-	88.3	423374
"Marshall Islands"	2.34	190180248.29	3602.85	4250	-	-7533344.05	4510	-	-	0.75	14	-	-	-	-	-	22.07	-	-	52786
"Mauritania"	5.68	5057754938.61	1306.01	1330	55.75	-1126004759.6	3570	-	4.13	0.13	6.2	79.45	62.8	-	31.1	-	20.46	-	-	3872684
"Mauritius"	3.2	11931866299.26	9479.87	9580	48.95	-1203800951.36	17750	-	3.54	3.21	39	62.29	74.02	-	8	-	3.22	-	-	1258653
"Mexico"	1.39	1258773797056.06	10172.72	9720	31.86	-32031738572	15680	-	3.81	1.65	43.46	32.75	76.53	93.96	4.9	-	3.28	-	-	123740109
"Micronesia, Fed. Sts."	-3.56	315725616.96	3044.08	3280	-	-1892007	3700	-	-	0.48	27.8	-	68.97	-	-	-	28.81	-	-	103718
"Moldova"	9.4	7985349731.46	2243.98	2470	43.34	-248840000	5200	28.53	4.64	4.14	45	80.6	71.17	99.17	5.1	12.7	14.79	-	-	3558566
"Monaco"	-	-	-	-	-	-	-	-	-	-	90.7	-	-	-	-	-	-	-	-	37528
"Mongolia"	11.64	12545217934.42	4387.71	4360	40.02	-2109433604.21	10480	-	8.6	2.61	20	60.44	69.06	-	5	-	15.41	-	-	2859174
"Montenegro"	3.55	4464260488.58	7186.43	7330	41.34	-428841097.82	14910	33.19	2.21	2.07	60.31	61.43	75.97	-	19.5	8.6	9.79	-	-	621207
"Morocco"	4.73	107316974437.74	3156.18	3080	32.65	-2916210628.14	7110	-	1.89	1.51	56	47.06	73.71	-	9.2	-	14.75	-	-	33452686
"Mozambique"	7.14	16018848990.67	605.23	590	25.67	-6175124642.62	1060	-	4.26	3.92	5.4	74.83	54.64	-	22.5	-	26.57	-	-	26467180
"Myanmar"	8.24	58652241646.01	1106.98	-	-	-2254603965.49	-	-	5.52	5.71	1.6	-	65.65	92.79	3.3	-	-	-	-	52983829
"Namibia"	5.68	12754875754.78	5435.49	5740	42.42	-827714537.3	9380	-	5.6	9.04	13.9	58.79	64.34	-	19	-	6.85	-	-	2346592
"Nepal"	4.13	19271168018.48	692.34	730	10.69	-74244986.77	2270	-	9.04	6.58	13.3	37.46	69.22	-	2.7	-	35.05	-	-	27834981
"Netherlands"	-0.5	864169242952.93	51425.08	52470	82.63	46085025454.33	48900	-	2.51	1.38	93.96	71.65	81.3	-	6.7	-	1.92	-	68.27	16804432
"New Caledonia"	-	-	-	-	-	-2152303552	-	-	-	-	66	-	77.32	96.67	-	-	-	-	-	262000
"New Zealand"	2.47	187937183367.74	42308.18	39340	29.31	-1072696295.96	35130	-	1.3	4.05	82.78	27.59	81.41	-	6.2	-	-	-	60.19	4442100
"Nicaragua"	4.51	10850733052.08	1824.99	1790	42.44	-708400000	4550	-	7.14	4.21	15.5	63.45	74.51	-	5.3	-	19.05	-	-	5945646
"Niger"	4.58	7683045042.91	418.49	400	22.59	-618403321.27	880	-	2.3	2.4	1.7	39	60.83	-	5.1	-	35.75	-	-	18358863
"Nigeria"	5.39	514964650436.05	2979.83	2700	18.05	-4335435961.37	5380	-	8.48	5.87	38	13	52.44	-	7.5	-	21	-	-	172816517
"Northern Mariana Islands"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53869
"Norway"	0.74	522349106382.98	102832.26	104010	38.8	6575356485.58	67500	-	2.13	2.73	95.05	28.62	81.75	-	3.5	-	1.58	-	20.95	5079623
"Oman"	3.91	78182574772.43	20011.35	19280	75.93	-243036789.05	38500	-	1.25	-1.44	66.45	53.53	76.84	-	7.3	-	1.23	-	-	3906912
"Pakistan"	4.37	231086513914.87	1275.36	1360	13.28	-1121000000	4860	-	7.69	6.96	10.9	20.06	65.96	-	5.1	29.5	24.82	-	-	181192646
"Palau"	-2.03	228567644.08	10926.32	10000	60.91	-	13080	-	-	8.11	-	81.79	-	99.52	-	-	4.42	-	-	20919
"Panama"	8.35	42648100000	11206.42	10860	-	-4372700000	19590	51.67	4.03	3.7	44.03	-	77.42	-	4.1	-	-	-	-	3805683
"Papua New Guinea"	5.54	15413232345.73	2108.84	2040	-	-18222240.04	2540	-	4.96	2.21	6.5	-	62.45	63.34	2.5	-	-	-	-	7308864
"Paraguay"	14.04	29078927134.81	4497.44	4190	49.26	-71740000	8010	48.3	2.68	0.84	36.9	44.58	72.8	-	5	23.8	21.53	-	-	6465669
"Peru"	5.77	201848484663.51	6603.81	6230	24.13	-9160639037	11080	44.73	2.82	1.47	39.2	24.71	74.28	-	4	23.9	-	-	-	30565461
"Philippines"	7.06	271927428132.55	2786.95	3340	28.01	-90422443.46	8000	-	3	2.09	37	32.22	68.13	-	7.1	-	11.24	-	-	97571676
"Poland"	1.26	524059039422.89	13776.45	13490	46.3	-4206000000	23730	-	1.03	0.41	62.85	44.39	77	99.76	10.4	17	3.33	-	55.59	38040196
"Portugal"	-1.13	226073492966.5	21618.74	21340	39.52	-3161327395.54	27550	-	0.27	2.27	62.1	38.51	80.72	-	16.5	-	2.37	-	138.05	10457295
"Puerto Rico"	-0.58	103134778000	28681.7	19310	75.55	-	23960	-	-	2.62	73.9	54.67	79.16	-	14.7	-	0.82	-	-	3595839
"Qatar"	4.58	201885439560.44	96077	89210	73.28	8861813186.81	130740	-	3.13	1.45	85.3	29.2	78.42	97.48	0.3	-	0.09	-	-	2101288
